Offshore,52.44
Onshore,18.7
PV,8.84
river,84.3
lake,22
biogas,94.3
PHS,7.5
Battery,1.96
hydrogen,20
methanation,103.5
G2P,16.5
methanisation,96
pyrogasification,225
tank,0
P2G,75
